product_id,ts_create,ts_update,bank_id,status,address_id,company_id,agent_id,email_agent_id,phone_agent_id,direction_id,partner_company_id,online_id,channel_id,source_id,system_id
5,145815564.0,146239686.0,284,4,181,23668,165,46,56,14,33,9947,9098,0,4
4,145815564.0,145822014.0,371,0,0,40632,171,168,42,12,57,9946,42,1,2
5,145815564.0,146238936.0,219,1,516,32239,39,127,32,14,76,9945,9099,0,4
1,145815564.0,145945926.0,901,3,978,29177,135,140,104,8,49,9944,9100,0,4
0,145815570.0,145884450.0,738,5,2611,5330,135,140,104,8,49,9943,9101,0,4
21,145815570.0,145936872.0,211,9,2211,31768,23,161,0,11,29,9942,9102,0,3
0,145815570.0,145980144.0,803,5,2707,11187,135,140,104,8,49,9941,9103,0,4
0,145815570.0,145930488.0,1009,1,437,8876,128,183,62,8,50,9940,9104,0,4
0,145815570.0,146504088.0,899,9,1939,34897,128,183,62,8,50,9939,9105,0,4
0,145815576.0,146505780.0,784,9,2780,24808,135,140,104,8,49,10020,9106,0,4
0,145815576.0,146506524.0,659,4,3690,23025,135,140,104,8,49,10019,9107,0,4
5,145815576.0,145973262.0,287,4,3699,27787,165,46,56,14,33,10018,9108,0,4
0,145815576.0,145924434.0,1013,9,581,9173,128,183,62,8,50,10017,9109,0,4
1,145815576.0,145191930.0,909,5,1887,29192,135,140,104,8,49,10016,9110,0,4
5,145815576.0,145925628.0,155,4,2456,12702,39,127,32,14,76,10015,9111,0,4
5,145815576.0,145973244.0,217,9,3371,32637,39,127,32,14,76,10014,9112,0,4
5,145815576.0,145896102.0,641,7,462,4091,39,127,32,14,76,10013,9113,0,4
0,145815582.0,145191030.0,729,5,3575,5778,135,140,104,8,49,10012,9114,0,4
5,145815582.0,145190532.0,686,9,712,22904,165,46,56,14,33,10011,9115,0,4
0,145815582.0,146501136.0,988,7,705,7826,128,183,62,8,50,10010,9116,0,4
0,145815582.0,145942098.0,850,4,1551,9847,135,140,104,8,49,10009,9117,0,4
1,145815588.0,145191930.0,909,5,1887,29194,135,140,104,8,49,10008,9092,0,4
5,145815588.0,145936884.0,261,9,2123,32050,165,46,56,14,33,10007,9118,0,4
0,145815588.0,146505474.0,778,9,831,24809,135,140,104,8,49,10006,9091,0,4
0,145815588.0,145190868.0,766,9,1931,55,135,140,104,8,49,10005,9089,0,4
0,145815588.0,146506446.0,900,9,1666,36595,128,183,62,8,50,10004,9064,0,4
0,145815588.0,146502270.0,960,9,131,13660,128,183,62,8,50,10003,9065,0,4
